Pregunta,Opción 1,Opción 2,Opción 3,Opción 4
"Está confeccionado con una mina de grafito, que proporciona un trazo gris y suave. Es quebradizo y se desmenuza con facilidad.",A) Carboncillo,B) Lápiz de grafito,C) Pastel seco,D) Pluma estilográfica
Es uno de los materiales de dibujo más antiguos que se conocen. Se elabora quemando ramas de madera a alta temperatura en un espacio hermético.,A) Carboncillo,B) Lápiz de grafito,C) Tinta,D) Creta
Están elaboradas con carbonato cálcico mezclado con cola y pigmento hasta formar una barra compacta de sección cuadrada.,A) Tiza pastel,B) Carbón comprimido,C) Las cretas,D) Lápices de colores
"Las minas no se calientan en un horno; la mezcla se realiza en frío y se compone de un pigmento, un relleno y un material aglutinante.",A) Lápices de colores,B) Carboncillo,C) Tinta,D) Acuarelas
Su color es negro intenso y su acabado es brillante. Mezclado con agua proporciona diferentes tonos y grises.,A) Tintas y guardas,B) Lápiz de grafito,C) Acuarela,D) Pastel seco
"Cuando se ordena el espacio y lo hace más comprensible y coherente, es cuando:",A) Dibujamos detalles,B) Agrupamos los elementos,C) Usamos perspectiva,D) Añadimos sombras
Son un conjunto de líneas maestras principales e invisibles al espectador que organizan los espacios donde se van a situar los elementos visuales.,A) Líneas de fuerza,B) Líneas de horizonte,C) Los esquemas compositivos,D) Líneas guía
"Una composición se encuentra en equilibrio cuando, al dividirla con una línea o un eje vertical, los elementos que conforman rompen la simetría.",A) Romper la simetría,B) Mantener la armonía,C) Crear un contraste,D) Usar líneas diagonales
Es uno de los primeros recursos compositivos que el artista descubre.,A) La regla de tercios,B) La simetría axial,C) El ritmo,D) La proporción áurea
Es necesario desplazarse alrededor del modelo para encontrar el punto de vista que mejor exprese la variación dentro de la unidad.,A) Cambiar el encuadre,B) Variar el punto de vista,C) Ajustar la iluminación,D) Eliminar el fondo
Se debe trazar líneas intensas sobre los plafones del fondo con un lápiz negro acuarelable. Luego se aplica una primera aguada con tinta amarilla diluida.,A) Crear espacios interiores,B) Efecto contraluz,C) Espacio negativo,D) Líneas compositivas
